Date,City,Temperature (°C),Humidity (%),Wind Speed (km/h),Weather Condition
2010-01-01,New York,1.3,28,21.5,Thunderstorm
2010-01-01,Los Angeles,-0.3,85,21.9,Clear
2010-01-01,Chicago,25.5,16,9.3,Clear
2010-01-01,Houston,12.3,44,2.8,Foggy
2010-01-01,Phoenix,4.2,92,16.4,Foggy
2010-01-01,Philadelphia,8.7,77,10.7,Snowy
2010-01-01,San Antonio,37.7,44,19.9,Foggy
2010-01-01,San Diego,12.8,57,7.9,Snowy
2010-01-01,Dallas,34.4,35,14.3,Foggy
2010-01-01,San Jose,-2.5,15,27.5,Snowy
2010-01-02,New York,1.6,77,9.0,Foggy
2010-01-02,Los Angeles,9.3,20,28.5,Clear
2010-01-02,Chicago,36.2,35,26.7,Clear
2010-01-02,Houston,19.0,93,19.1,Snowy
2010-01-02,Phoenix,31.5,15,2.5,Cloudy
2010-01-02,Philadelphia,26.8,41,2.0,Snowy
2010-01-02,San Antonio,30.0,95,20.6,Cloudy
2010-01-02,San Diego,15.2,89,24.8,Clear
2010-01-02,Dallas,33.2,91,5.6,Clear
2010-01-02,San Jose,33.0,85,2.2,Foggy
2010-01-03,New York,3.7,55,1.1,Snowy
2010-01-03,Los Angeles,3.7,12,24.0,Cloudy
2010-01-03,Chicago,-8.9,48,16.7,Thunderstorm
2010-01-03,Houston,8.0,87,0.7,Foggy
2010-01-03,Phoenix,-7.7,63,10.0,Cloudy
2010-01-03,Philadelphia,37.5,21,7.3,Clear
2010-01-03,San Antonio,36.7,66,29.2,Thunderstorm
2010-01-03,San Diego,-5.6,60,2.1,Rainy
2010-01-03,Dallas,38.5,13,10.3,Foggy
2010-01-03,San Jose,36.7,29,4.4,Thunderstorm
2010-01-04,New York,-8.5,41,4.5,Rainy
2010-01-04,Los Angeles,-5.8,84,14.3,Snowy
2010-01-04,Chicago,-2.8,53,2.5,Rainy
2010-01-04,Houston,4.6,98,10.0,Cloudy
2010-01-04,Phoenix,3.1,89,16.4,Cloudy
2010-01-04,Philadelphia,38.2,71,11.8,Cloudy
2010-01-04,San Antonio,24.9,64,4.3,Snowy
2010-01-04,San Diego,0.4,12,23.1,Rainy
2010-01-04,Dallas,12.9,27,20.5,Clear
2010-01-04,San Jose,28.6,38,5.8,Clear
2010-01-05,New York,32.9,65,28.2,Clear
2010-01-05,Los Angeles,14.2,37,7.7,Foggy
2010-01-05,Chicago,38.5,20,13.8,Foggy
2010-01-05,Houston,23.3,56,6.4,Clear
2010-01-05,Phoenix,-3.5,82,11.5,Rainy
2010-01-05,Philadelphia,24.9,93,21.5,Cloudy
2010-01-05,San Antonio,17.8,97,24.9,Snowy
2010-01-05,San Diego,-1.0,39,18.3,Thunderstorm
